,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
41624,fa62aa05b4d095b02be67ecc8644d910,0.21,0.98,0.9,65.74,64.67999999999999,71.78,64.67999999999999
41625,7a190e665d0884bd799848ecc439bdf7,0.42,1.05,0.96,169.63,177.47000000000003,185.43,177.47000000000003
41626,b359d2709f9dc8bff67767d534119158,0.44,0.98,1.06,51.690000000000005,50.89,47.790000000000006,50.89
41627,bb29467bcfa1ba0bd9b5bdfa32abaad8,0.57,1.09,1.09,18.79,20.53,18.79,20.53
41628,cce1a5de5993ef457811a222e4cf1299,0.28,1.02,1.29,56.38,57.57999999999999,44.78,57.57999999999999
41629,ab0523d34397eebeedc91b71d1ac4ae7,0.05,1.29,1.08,3.0,3.87,3.57,3.87
41630,ad07aca771c9123a824dd677cba4a1fe,0.26,1.0,1.09,49.160000000000004,49.14,45.160000000000004,49.14
41631,6ee6e20b3d6f8ca4c02f38af49d4a589,0.14,0.9,0.76,19.46,17.560000000000002,23.160000000000004,17.560000000000002
41632,0cdb3dc05560eebf47496196da56a12f,0.17,0.97,1.09,30.32,29.32,26.78,29.32
41633,13f7ded8316400664672084620adb66c,0.50,1.03,0.9,37.160000000000004,38.300000000000004,42.7,38.300000000000004
41634,9bb0867a74d142f6da2999375788c500,0.18,0.98,1.11,12.170000000000002,11.97,10.79,11.97
41635,0c99fb68a034e4d87ee73c8f976272d0,0.50,1.04,1.04,20.48,21.279999999999998,20.48,21.279999999999998
41636,c6a2a2a5ee196991efa0c1245a9f3bce,0.39,1.08,0.92,36.53,39.43000000000001,42.830000000000005,39.43000000000001
41637,0a52667beb73c1f74157a505ead82c3a,0.19,0.97,0.8200000000000001,40.120000000000005,38.82000000000001,47.42,38.82000000000001
41638,c5de467755fe3a9d2858fa8deff6c26c,0.40,0.99,0.84,13.02,12.84,15.240000000000002,12.84
41639,347cb01ed30084066c2a94d11a9869ca,0.22,0.96,0.96,106.55000000000001,102.45000000000002,106.44999999999999,102.45000000000002
41640,f803a206b9a153b67fb17be6f1f97cd4,0.20,1.0,1.12,4.79,4.79,4.29,4.79
